artist,track_or_project_title,release_type,confidence_score,extraction_method,source_article_title,source_article_url,source_name,article_date,embedded_music_links,release_article
Chris Lorenzo & aMo (um) Come Together To,HOTS 4 U,unknown,0.6,regex,Chris Lorenzo & aMo (um) Come Together To Drop ‘HOTS 4 U’,https://www.edmtunes.com/2026/05/chris-lorenzo-amo-um-hots-4-u/,EDMTunes,2026-05-01,,True
Florian Picasso & Mija,Dance Like You Mean It,unknown,0.6,regex,Florian Picasso & Mija Deliver Bouncy Summer Hit ‘Dance Like You Mean It’,https://www.edmtunes.com/2026/05/florian-picasso-mija-hit-dance-like-you-mean-it/,EDMTunes,2026-05-01,,True
Chris,Make You Fight,single,0.6,regex,"Chris Lake And ATRIP Join Forces For New Single, ‘Make You Fight’",https://www.edmtunes.com/2026/05/chris-lake-atrip-join-make-you-fight/,EDMTunes,2026-05-01,,True
Madeon,Fire Away,single,0.6,regex,Madeon Reveals Third Album Release Date & Lead Single ‘Fire Away’ feat. Slayyyter,https://www.edmtunes.com/2026/05/madeon-release-date-3rd-album/,EDMTunes,2026-05-01,,True
Armin van Buuren & Skytech,She A Freak,unknown,0.8,regex+embedded_player,Armin van Buuren & Skytech Drop High-Energy ‘She A Freak’,https://www.edmtunes.com/2026/05/armin-van-buuren-skytech-she-a-freak/,EDMTunes,2026-05-01,https://www.youtube.com/watch?v=ifbfwHkhhFc&list=RDifbfwHkhhFc&start_radio=1,True
Seven Lions,The Dreams Strange And Eternal,EP,0.8,regex+embedded_player,Seven Lions Returns With ‘The Dreams Strange And Eternal’ EP,https://www.edmtunes.com/2026/05/seven-lions-the-dreams-strange-and-eternal-ep/,EDMTunes,2026-05-01,https://open.spotify.com/track/2dP8286DHZ8UpZpTxl750e | https://open.spotify.com/track/7bXd8Z1o8UmP61E9CX59X8,True
MC4D,COMPASS,album,0.7,regex,MC4D Define Their Sound with Folktronica Debut Album ‘COMPASS’,https://www.edmtunes.com/2026/05/mc4d-define-their-sound-with-folktronica-debut-album-compass/,EDMTunes,2026-05-01,,True
Miss,Hot Sauce,track,0.7,article_metadata,"Miss Monique, Kapuchon and GLZ Unite Forces on High-Energy New Track...",https://www.edmtunes.com/2026/05/miss-monique-kapuchon-hot-sauce/,EDMTunes,2026-05-01,,True
"Relax: ‘Tiga, Dom Dolla",Don’t Worry Baby’ is Finally Out,unknown,0.7,regex,"Relax: ‘Tiga, Dom Dolla – Don’t Worry Baby’ is Finally Out",https://www.edmtunes.com/2026/05/relax-tiga-dom-dolla-dont-worry-baby-is-finally-out/,EDMTunes,2026-05-01,,True
Le Youth,circus act,unknown,0.6,regex,Le Youth Extends Intimacy With Latest Release ‘circus act’,https://www.edmtunes.com/2026/04/le-youth-circus-act/,EDMTunes,2026-04-30,,True
WHIPPED CREAM,HOME WAS ALWAYS ME,album,0.4,regex,"WHIPPED CREAM Unveils Debut Album, HOME WAS ALWAYS ME",https://www.edmtunes.com/2026/04/whipped-cream-album-home-was-always-me/,EDMTunes,2026-04-30,,True
Charlotte de Witte,Amor,EP,0.6,regex,Charlotte de Witte Releases New ‘Amor’ EP Featuring CERES,https://www.edmtunes.com/2026/04/charlotte-de-witte-amor-ep/,EDMTunes,2026-04-30,,True
DJ Susan,Transformation,single,0.6,regex,DJ Susan Joins Dirtybird Records With ‘Transformation’ Single,https://www.edmtunes.com/2026/04/dj-susan-transformation/,EDMTunes,2026-04-29,,True
Malaa’s Alter Ego and YDG,STFU,unknown,0.6,regex,Malaa’s Alter Ego and YDG Unleash ‘STFU’,https://www.edmtunes.com/2026/04/malaas-alter-ego-ydg-stfu/,EDMTunes,2026-04-29,,True
Desert Hearts,California,EP,0.45,regex,Desert Hearts Start New Project With ‘California’ EP,https://www.edmtunes.com/2026/04/desert-hearts-california-ep/,EDMTunes,2026-04-29,,True
Koven,Carry Me Home,single,0.7,regex,Koven Remixes Fan Favorite Above & Beyond Single ‘Carry Me Home’,https://www.edmtunes.com/2026/04/koven-remixes-carry-me-home-above-beyond/,EDMTunes,2026-04-28,,True
Jason Ross & William Black,Mirage,single,0.7,regex,Jason Ross & William Black Unite on Emotional New Single ‘Mirage’...,https://www.edmtunes.com/2026/04/jason-ross-william-black-unite-on-emotional-new-single-mirage-ft-oaks/,EDMTunes,2026-04-28,,True
James Hype,Trigger Finger,unknown,0.6,regex,James Hype Releases Dancefloor Heater ‘Trigger Finger’,https://www.edmtunes.com/2026/04/james-hype-trigger-finger/,EDMTunes,2026-04-27,,True
